epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,6496.18,0.81183,0.46721,1.07127,0.93574,0.9094,0.9469,0.68596,1.09572,0.59253,1.24689,0.000470375,0.000470375,0.000470375
65,6546.76,0.80408,0.45404,1.06796,0.9018,0.92864,0.94233,0.67445,1.1121,0.60876,1.24554,0.000458,0.000458,0.000458
66,6733.52,0.82447,0.46386,1.07281,0.91272,0.90733,0.93773,0.67975,1.08855,0.61771,1.23098,0.000445625,0.000445625,0.000445625
67,6823.63,0.7957,0.45138,1.06195,0.91942,0.90228,0.93076,0.67313,1.09368,0.60887,1.24085,0.00043325,0.00043325,0.00043325
68,6931.81,0.79644,0.45074,1.06449,0.91188,0.90848,0.93951,0.68072,1.0949,0.58638,1.24926,0.000420875,0.000420875,0.000420875
69,7019.04,0.78294,0.44202,1.05238,0.92658,0.91374,0.94594,0.69027,1.08115,0.59255,1.23746,0.0004085,0.0004085,0.0004085
70,7105.94,0.79706,0.45477,1.06383,0.92482,0.90594,0.93822,0.67763,1.10705,0.60525,1.26136,0.000396125,0.000396125,0.000396125
71,7191.06,0.78104,0.43917,1.05181,0.91997,0.89592,0.93663,0.67897,1.09093,0.61444,1.25467,0.00038375,0.00038375,0.00038375
72,7271.73,0.77653,0.43779,1.05283,0.90578,0.89343,0.93772,0.67254,1.10137,0.62742,1.2527,0.000371375,0.000371375,0.000371375
73,7361.06,0.77605,0.43864,1.06132,0.93797,0.90675,0.94385,0.67154,1.09825,0.60958,1.24217,0.000359,0.000359,0.000359
74,7525.53,0.77142,0.43515,1.05272,0.91379,0.91065,0.93954,0.68158,1.10169,0.61718,1.25848,0.000346625,0.000346625,0.000346625
75,7593.91,0.75621,0.42635,1.03702,0.93177,0.90434,0.93558,0.69127,1.1079,0.62466,1.27208,0.00033425,0.00033425,0.00033425
76,7721.98,0.75372,0.42505,1.04176,0.9365,0.90308,0.94091,0.68456,1.1143,0.59226,1.27366,0.000321875,0.000321875,0.000321875
77,7791.27,0.74938,0.42155,1.04002,0.93123,0.91005,0.9457,0.6903,1.09659,0.60507,1.25968,0.0003095,0.0003095,0.0003095
78,7856.01,0.73846,0.41868,1.03107,0.93153,0.9189,0.94292,0.6927,1.09877,0.59228,1.2818,0.000297125,0.000297125,0.000297125
79,8002.77,0.73774,0.4137,1.03504,0.93379,0.89817,0.9444,0.69179,1.10284,0.59201,1.30043,0.00028475,0.00028475,0.00028475
80,8056.94,0.73861,0.40614,1.03281,0.89609,0.92104,0.94439,0.68626,1.10091,0.59355,1.28193,0.000272375,0.000272375,0.000272375
81,8194.4,0.72647,0.40855,1.03103,0.9413,0.90612,0.94403,0.68982,1.09934,0.59508,1.279,0.00026,0.00026,0.00026
82,8347.63,0.7297,0.4049,1.02877,0.91347,0.92655,0.94648,0.69097,1.0991,0.59901,1.25921,0.000247625,0.000247625,0.000247625
83,8443.79,0.71922,0.40227,1.02049,0.90123,0.92393,0.94734,0.69841,1.10215,0.61802,1.26796,0.00023525,0.00023525,0.00023525
84,8509.18,0.71381,0.40298,1.01619,0.9459,0.90296,0.94606,0.68889,1.10148,0.59881,1.26364,0.000222875,0.000222875,0.000222875
85,8568.37,0.71364,0.39724,1.01666,0.93198,0.91645,0.94982,0.69185,1.10201,0.59485,1.26395,0.0002105,0.0002105,0.0002105
86,8657.73,0.70631,0.39422,1.02134,0.9283,0.90235,0.94423,0.69461,1.09011,0.607,1.25051,0.000198125,0.000198125,0.000198125
87,8730.04,0.69654,0.38975,1.011,0.93282,0.91517,0.94614,0.69246,1.08668,0.59081,1.26173,0.00018575,0.00018575,0.00018575
88,8794.82,0.69364,0.38771,1.0092,0.90593,0.90481,0.94024,0.68918,1.09454,0.60256,1.26941,0.000173375,0.000173375,0.000173375
89,8854.74,0.69625,0.38705,1.01317,0.92561,0.89954,0.9381,0.68788,1.09584,0.61204,1.27615,0.000161,0.000161,0.000161
90,8934.94,0.68695,0.38519,1.00756,0.91945,0.91882,0.94841,0.69493,1.08853,0.58851,1.27557,0.000148625,0.000148625,0.000148625
91,9005.93,0.70709,0.35293,1.01121,0.90543,0.9242,0.94284,0.69241,1.08768,0.60874,1.25353,0.00013625,0.00013625,0.00013625
92,9199.64,0.69456,0.34397,1.00682,0.9433,0.91014,0.9434,0.69605,1.08254,0.58691,1.26828,0.000123875,0.000123875,0.000123875
93,9257.64,0.67521,0.33679,0.99794,0.91334,0.92407,0.94171,0.69575,1.09562,0.60103,1.28408,0.0001115,0.0001115,0.0001115
94,9373.32,0.67242,0.33314,0.99611,0.92509,0.91721,0.94188,0.69529,1.08046,0.59818,1.25243,9.9125e-05,9.9125e-05,9.9125e-05
95,9450.44,0.66266,0.33049,0.98503,0.92147,0.9221,0.94317,0.69759,1.07708,0.59763,1.25118,8.675e-05,8.675e-05,8.675e-05
96,9510.77,0.66418,0.33007,0.99181,0.9231,0.91895,0.94285,0.68937,1.08224,0.59236,1.25827,7.4375e-05,7.4375e-05,7.4375e-05
97,9600.06,0.65279,0.32511,0.98626,0.94265,0.90552,0.93976,0.69191,1.08042,0.59305,1.25453,6.2e-05,6.2e-05,6.2e-05
98,9689.49,0.64382,0.31776,0.97063,0.92647,0.91348,0.93882,0.69261,1.0806,0.59717,1.26431,4.9625e-05,4.9625e-05,4.9625e-05
99,9747.21,0.63357,0.31569,0.97025,0.92971,0.90914,0.93992,0.693,1.08196,0.59486,1.2688,3.725e-05,3.725e-05,3.725e-05
100,9893.74,0.64064,0.31624,0.97639,0.93326,0.90704,0.9395,0.69173,1.08075,0.59373,1.26596,2.4875e-05,2.4875e-05,2.4875e-05
